timesteps,betas,alpha_bars,snr_linear,snr_db,mse_to_x0,kl_to_unit
694,0.006026149,0.2094272,0.26490563,-5.7690883,0.8690778,124.8081
695,0.006048739,0.20816043,0.26288205,-5.8023906,0.86979663,123.77733
696,0.0060727596,0.20689632,0.2608692,-5.835772,0.87266207,122.752556
697,0.0060961843,0.20563504,0.25886723,-5.8692293,0.87132,121.733986
698,0.0061191916,0.20437671,0.25687623,-5.9027615,0.8760381,120.721634
699,0.0061427355,0.20312129,0.25489613,-5.9363675,0.88336515,119.71544
700,0.0061665773,0.20186873,0.2529267,-5.970053,0.88221914,118.71548
701,0.006190896,0.20061898,0.25096792,-6.003818,0.8807677,117.72136
702,0.0062140822,0.1993723,0.24902,-6.0376577,0.87828934,116.73351
703,0.0062392354,0.19812839,0.24708244,-6.071581,0.883958,115.75161
704,0.0062630773,0.1968875,0.24515556,-6.1055827,0.88525915,114.775665
705,0.0062876344,0.19564953,0.24323915,-6.139665,0.88747513,113.80577
706,0.0063127875,0.19441444,0.24133307,-6.173832,0.8906488,112.84163
707,0.006337106,0.19318241,0.23943752,-6.2080774,0.88777554,111.8836
708,0.0063616037,0.19195347,0.2375525,-6.242404,0.89217997,110.93143
709,0.0063877106,0.19072732,0.23567747,-6.276819,0.8947001,109.98505
710,0.0064125657,0.18950427,0.23381278,-6.3113174,0.8983561,109.044495
711,0.0064384937,0.18828414,0.2319582,-6.3459024,0.8969703,108.10982
712,0.006463647,0.18706715,0.23011391,-6.3805714,0.9000776,107.18084
713,0.0064894557,0.18585318,0.2282797,-6.415327,0.8986088,106.25775
714,0.006515503,0.18464226,0.22645551,-6.450171,0.9006763,105.340294
715,0.0065414906,0.18343441,0.22464137,-6.4851027,0.9064263,104.42857
716,0.0065678954,0.18222964,0.22283718,-6.520123,0.9068613,103.52237
717,0.0065948367,0.18102786,0.22104277,-6.5552373,0.90625703,102.621956
718,0.006621003,0.17982928,0.21925837,-6.5904384,0.9140077,101.72717
719,0.0066483617,0.1786337,0.21748361,-6.6257343,0.9125987,100.83782
720,0.006674826,0.17744136,0.21571879,-6.66112,0.9157442,99.95419
721,0.0067014694,0.17625225,0.21396385,-6.6965957,0.91095406,99.07617
722,0.006729424,0.17506617,0.21221845,-6.7321687,0.9149803,98.20356
723,0.006757498,0.17388315,0.21048252,-6.7678394,0.9134797,97.336334
724,0.006785214,0.17270333,0.20875622,-6.8036056,0.9123703,96.47458
725,0.006812632,0.17152676,0.2070396,-6.839466,0.92216575,95.61841
726,0.006840825,0.17035337,0.20533244,-6.8754244,0.9192272,94.76755
727,0.0068690777,0.16918321,0.2036348,-6.9114804,0.9238571,93.92211
728,0.0068970323,0.16801634,0.20194668,-6.9476323,0.92941046,93.08212
